parent_code,child_code,relationship
B60.0,B60.01,is-a
B60.0,B60.02,is-a
B60.0,B60.03,is-a
B60.0,B60.09,is-a
B60.1,B60.10,is-a
B60.1,B60.11,is-a
B60.1,B60.12,is-a
B60.1,B60.13,is-a
B60.1,B60.19,is-a
B65,B65.0,is-a
B65,B65.1,is-a
B65,B65.2,is-a
B65,B65.3,is-a
B65,B65.8,is-a
B65,B65.9,is-a
B66,B66.0,is-a
B66,B66.1,is-a
B66,B66.2,is-a
B66,B66.3,is-a
B66,B66.4,is-a
B66,B66.5,is-a
B66,B66.8,is-a
B66,B66.9,is-a
B67,B67.0,is-a
B67,B67.1,is-a
B67,B67.2,is-a
B67,B67.3,is-a
B67,B67.4,is-a
B67,B67.5,is-a
B67,B67.6,is-a
B67,B67.7,is-a
B67,B67.8,is-a
B67,B67.9,is-a
B67.3,B67.31,is-a
B67.3,B67.32,is-a
B67.3,B67.39,is-a
B67.6,B67.61,is-a
B67.6,B67.69,is-a
B67.9,B67.90,is-a
B67.9,B67.99,is-a
B68,B68.0,is-a
B68,B68.1,is-a
B68,B68.9,is-a
B69,B69.0,is-a
B69,B69.1,is-a
B69,B69.8,is-a
B69,B69.9,is-a
B69.8,B69.81,is-a
B69.8,B69.89,is-a
B70,B70.0,is-a
B70,B70.1,is-a
B71,B71.0,is-a
B71,B71.1,is-a
B71,B71.8,is-a
B71,B71.9,is-a
B73,B73.0,is-a
B73,B73.1,is-a
B73.0,B73.00,is-a
B73.0,B73.01,is-a
B73.0,B73.02,is-a
B73.0,B73.09,is-a
B74,B74.0,is-a
B74,B74.1,is-a
B74,B74.2,is-a
B74,B74.3,is-a
B74,B74.4,is-a
B74,B74.8,is-a
B74,B74.9,is-a
B76,B76.0,is-a
B76,B76.1,is-a
B76,B76.8,is-a
B76,B76.9,is-a
B77,B77.0,is-a
B77,B77.8,is-a
B77,B77.9,is-a
B77.8,B77.81,is-a
B77.8,B77.89,is-a
B78,B78.0,is-a
B78,B78.1,is-a
B78,B78.7,is-a
B78,B78.9,is-a
B81,B81.0,is-a
B81,B81.1,is-a
B81,B81.2,is-a
B81,B81.3,is-a
B81,B81.4,is-a
B81,B81.8,is-a
B82,B82.0,is-a
B82,B82.9,is-a
B83,B83.0,is-a
B83,B83.1,is-a
B83,B83.2,is-a
B83,B83.3,is-a
B83,B83.4,is-a
B83,B83.8,is-a
B83,B83.9,is-a
B85,B85.0,is-a
B85,B85.1,is-a
B85,B85.2,is-a
B85,B85.3,is-a
B85,B85.4,is-a
B87,B87.0,is-a
B87,B87.1,is-a
B87,B87.2,is-a
B87,B87.3,is-a
B87,B87.4,is-a
B87,B87.8,is-a
B87,B87.9,is-a
B87.8,B87.81,is-a
B87.8,B87.82,is-a
B87.8,B87.89,is-a
B88,B88.0,is-a
B88,B88.1,is-a
B88,B88.2,is-a
B88,B88.3,is-a
B88,B88.8,is-a
B88,B88.9,is-a
B88.0,B88.01,is-a
B88.0,B88.09,is-a
B90,B90.0,is-a
B90,B90.1,is-a
B90,B90.2,is-a
B90,B90.8,is-a
B90,B90.9,is-a
B94,B94.0,is-a
B94,B94.1,is-a
B94,B94.2,is-a
B94,B94.8,is-a
B94,B94.9,is-a
B95,B95.0,is-a
B95,B95.1,is-a
B95,B95.2,is-a
B95,B95.3,is-a
B95,B95.4,is-a
B95,B95.5,is-a
B95,B95.6,is-a
